GeneSymbol,GSM1589037,GSM1589130,GSM1589132,GSM1589135,GSM1589136,GSM1589139,GSM1589142,GSM1589144,GSM1589145,GSM1589148,GSM1589150,GSM1589151
ETS1,6.540580892836503,6.429802739150993,6.3772843262292165,6.304202234342614,6.688617932877974,6.220723449950007,6.1726888959554,6.147374871328296,6.372168939756591,6.54886799454889,6.38081005921554,6.665306624082113
ETV1,5.129042380168662,5.151406408362886,5.793513942341773,5.229445984498834,5.214564649188492,5.6159155969201,5.702148460979754,5.423488665405328,5.247943782384629,4.956894662729608,5.206530858193328,5.0159817064090495
EZH2,8.93187615206915,4.71645866467653,4.55208743148538,5.33825873006284,5.34338337651194,4.53370952040798,4.79309010039419,5.02601006242539,5.2698700296246,4.48498685593748,5.03453908897057,4.11069230579543
FADD,8.2422766218697,6.91777154369488,7.27133867439684,7.9423807468195,7.49139743910227,7.71700030314563,7.45200990750441,7.73578778663056,8.26421761415643,7.75071631245809,7.84703735553941,7.08669213928885
FOS,9.53504715054386,5.30105031287154,5.5644795566744,11.6404199860075,10.4118772786029,4.78686383747937,9.56251144948809,6.90737173477677,5.32669101659176,8.10916589604068,8.08177824796207,8.08372867085334
GABPA,6.044034270076515,5.2214381240776255,5.74139551038988,4.90118804831242,5.229892683657646,4.935442314854915,5.176657883295816,5.02874891379106,5.179561874967796,4.631466802896449,5.218553260088131,5.71371857225356
GADD45B,7.300423687907823,6.702140141888938,6.216543727902085,7.781679972321065,7.24414098221005,6.461809139787955,6.6807223571178405,6.5338014421563955,6.577782715647648,7.081167419151136,6.55917992279286,6.505034911583227
HDAC1,9.17281466874035,8.82545426224969,8.43556555274266,9.66675166526121,9.77316997577637,9.09230761802622,8.958910673488,9.41483401154834,9.41334241734907,8.57775569609261,9.34528020606388,8.7218778862629
HIF1A,11.4007182110815,10.3041344110357,10.0580142647478,10.0661224234122,10.2981476654236,9.61345839768792,10.0533832678367,9.79023326427278,10.2805132801568,9.39488304618373,9.8074001090902,9.90460472804962
HINT1,9.34586758935501,9.535960337204148,9.563913431942984,10.249703468169578,9.644486764881282,9.591943640696194,9.968225780464156,10.14417614659603,9.989254862029018,9.552598889601503,9.655280700228634,9.720558371257479
HMGCR,6.862119291697395,5.545648298901176,5.3734281639594155,6.983544596563275,6.86717088031207,6.42772187132348,6.08431892103986,6.320995120092045,6.61884216820276,5.975074643562024,6.070806408933235,5.960079494729925
HSP90AB1,11.146134945452834,8.052705432494234,8.258806678276352,11.260512803282666,9.635349622153564,8.130129927013623,9.503607213469587,9.54006469553672,9.197461903251517,7.24761257275937,9.724847136012007,10.011771592464298
HSPB1,10.0845310623628,9.87499734498124,9.20739989104728,10.6242020553591,11.4580982920315,10.3837439001909,10.3791134374403,10.3197239201211,10.3815487522661,10.2315493887364,11.3194192289063,11.313368564985
IFI16,8.8727545379986,8.31263465273301,7.37436007322171,8.995330532212073,9.384858353119263,6.965343289892903,7.93049576310086,8.039091225360906,7.587999580059783,8.434374786976333,7.5811566150659635,8.310544877238627
IKBKG,7.382364030313555,7.808718038294865,7.40839524881694,7.6933044486020545,7.844576172752375,7.645951425357294,7.502116238867825,7.614834762019445,7.644936410321515,7.879591824325325,7.8195291499617205,7.76788821757642
INSR,6.524388747361772,6.974239588445556,6.467594916689222,7.038282030438244,6.797082252023157,6.858641858232484,7.027047736201197,6.85430337176542,6.679997898468142,6.511487175297212,6.583341923223654,6.6243161550103675
IRF2BP2,9.153565633578168,7.746881398632733,8.076572087647044,8.677185886813135,8.556800455054068,7.688919453869315,8.363693057309593,8.18378820360439,8.04985496274905,8.103181847162524,8.222659619284396,8.390225264750292
IRF9,8.93531648513401,7.00138939214843,8.47533038613467,8.70517383171555,8.22859663905212,7.57063694138925,8.01793232517293,7.83363556748398,7.525601913614,8.08834334833532,7.75893802102981,8.16727674476582
ITGB4,5.422972633613582,5.616986188968734,5.27219202120775,6.048538623670244,5.732523431507156,5.672083431094616,5.718017908319513,5.768253129440064,5.438129114012444,5.126118796288805,5.307095395183888,5.2213763365417565
KRT15,8.70911113902051,12.0475422175313,12.2582600104581,12.6872499799436,12.723920274686,12.7366757308896,11.1505981754686,12.5833823458382,12.4895174437437,11.6178107442781,10.7737520198893,11.2817510063057
KRT17P5,4.76007422241678,5.27466023953111,5.30463924235051,4.41025952668685,4.74295715454535,5.31867534150407,4.91393851491772,5.1036895351252,5.23293457627122,4.98928982385196,5.22508913585385,4.83776978109371
KRT5,8.93263850609973,8.83112301204829,9.3116513952619,10.9088648504972,10.4221959865357,9.70945848552889,9.93211461404856,9.27833575780584,10.5843961317276,9.00324366440694,9.6204452874674,9.06757527012288
LAPTM5,10.305192906129346,8.455368229215686,7.788595306030775,9.114248190207,8.51028139737851,7.6402563449523395,8.44124641404421,8.238386071719106,8.993678475042074,8.45297331998584,8.20232844741334,8.04881380778337
LDHB,12.1085240451699,11.91597179661175,11.760887916581,12.1565230152369,11.175449172732801,11.8285747489121,12.17341823234745,12.266049175537301,12.02661415976565,12.0667326424714,12.32680244481,12.57547981542875
MAP3K4,8.36119333177813,8.263707938440405,7.834638655499949,8.977038686189406,8.690661170514526,8.837005415564775,8.590668657303521,8.606958243499,8.954978053166414,8.49495617939059,8.7666855037841,8.46082602980057
MAP3K5,8.074375031007754,7.86679254407402,7.0205330562789605,7.95563163014114,7.618762334302479,6.62430624196714,7.589374789267095,7.43241964402773,7.0797734724826995,7.29515668439915,8.122084301259655,7.79509088182981
MAP3K7,7.516680233080615,5.303775714539305,6.270613837975395,6.966653711947535,6.40967484712592,5.906269151249003,6.374821168707228,6.32941586800113,6.412925965696223,5.463338642201743,6.5751908300828825,6.5988238902620475
MAPK3,8.38819837455292,9.68265427307407,9.3837148253123,9.29967676130081,9.13985142987608,9.70077879990404,9.25558570854519,9.11072443678476,8.87956205831058,9.81746471928273,9.62804711919451,9.25028835337273
MAPK4,3.9245543672914565,4.351358510167693,4.541938025319873,3.7735847071680095,4.185898410199774,4.335061417981857,4.176448865243914,3.95837569969072,4.1865318740810435,4.26585060893099,4.106451586410463,4.0608667887866305
MCL1,7.692674439697093,6.2085424465026415,6.184592570657862,7.295738418647908,6.877273493663327,6.290299304641098,6.687424587831956,6.26413560786114,6.348592518071083,7.1051651772963025,6.252006290014453,6.395238869325571
MCM7,8.94040491720554,8.350238722635314,7.915258581846455,8.93877252174806,8.131121222989535,8.11077148572478,8.256069595356486,8.538143091939236,8.251662126473304,7.473619811970015,7.998212415866741,7.933333615969925
MTA1,6.905124118716715,5.9848991308037345,6.2803631943793246,7.508834343327845,6.947280853758315,5.982421894778895,6.647458048973185,6.596889243219669,6.43937315102877,6.002423837365795,6.511890752626835,6.32950343184174
MYC,9.94299039070458,7.29067566873721,8.94280538627265,10.7516862483547,8.36916530076714,8.27725365730814,9.49700077446814,9.27109833862949,9.45446720385284,7.49406629652361,7.90998943215329,8.27050260400783
NCOA4,11.1712688896942,9.37199370470026,10.0916745040995,11.2664952153758,10.5771151819571,9.87820446259138,10.5107905807683,11.1283699213264,10.9189924337967,10.6264271953146,11.2779077479434,11.6256947924074
NEDD9,5.983363220362785,5.605577336478246,5.828248126026636,6.270678237533428,5.745171790689804,5.855699979877308,5.759654885213618,5.494142970230628,5.650426902029412,5.505005617829008,5.922429055416375,5.9854349914550316
NFE2L2,6.411850952935867,6.623347425956493,6.01387025336388,6.556739988061287,6.603572666323124,6.122447837108759,6.357842530837317,6.279111291156419,6.471440826219187,6.154631152380283,6.48041533490844,6.654757875611554
